"year","name","female","male","maleprop","femaleprop","maletotal","femaletotal"
1882,"Alexis",0,6,1,0,60143,328320
1887,"Alexis",0,5,1,0,60143,328320
1895,"Alexis",0,5,1,0,60143,328320
1907,"Alexis",0,5,1,0,60143,328320
1911,"Alexis",0,8,1,0,60143,328320
1912,"Alexis",0,14,1,0,60143,328320
1913,"Alexis",0,6,1,0,60143,328320
1914,"Alexis",0,14,1,0,60143,328320
1915,"Alexis",0,14,1,0,60143,328320
1916,"Alexis",0,20,1,0,60143,328320
1917,"Alexis",0,19,1,0,60143,328320
1918,"Alexis",0,13,1,0,60143,328320
1919,"Alexis",0,18,1,0,60143,328320
1920,"Alexis",0,19,1,0,60143,328320
1921,"Alexis",0,19,1,0,60143,328320
1922,"Alexis",0,9,1,0,60143,328320
1923,"Alexis",0,17,1,0,60143,328320
1924,"Alexis",0,14,1,0,60143,328320
1925,"Alexis",0,18,1,0,60143,328320
1926,"Alexis",0,13,1,0,60143,328320
1927,"Alexis",0,11,1,0,60143,328320
1928,"Alexis",0,8,1,0,60143,328320
1929,"Alexis",0,11,1,0,60143,328320
1930,"Alexis",0,8,1,0,60143,328320
1931,"Alexis",5,12,0.705882352941177,0.294117647058824,60143,328320
1932,"Alexis",0,11,1,0,60143,328320
1933,"Alexis",0,13,1,0,60143,328320
1934,"Alexis",0,11,1,0,60143,328320
1935,"Alexis",0,9,1,0,60143,328320
1937,"Alexis",0,12,1,0,60143,328320
1938,"Alexis",0,5,1,0,60143,328320
1939,"Alexis",0,13,1,0,60143,328320
1940,"Alexis",0,7,1,0,60143,328320
1941,"Alexis",5,7,0.583333333333333,0.416666666666667,60143,328320
1942,"Alexis",36,16,0.307692307692308,0.692307692307692,60143,328320
1943,"Alexis",88,11,0.111111111111111,0.888888888888889,60143,328320
1944,"Alexis",124,23,0.156462585034014,0.843537414965986,60143,328320
1945,"Alexis",122,15,0.109489051094891,0.89051094890511,60143,328320
1946,"Alexis",221,16,0.0675105485232067,0.932489451476793,60143,328320
1947,"Alexis",248,16,0.0606060606060606,0.939393939393939,60143,328320
1948,"Alexis",217,14,0.0606060606060606,0.939393939393939,60143,328320
1949,"Alexis",269,22,0.0756013745704467,0.924398625429553,60143,328320
1950,"Alexis",230,18,0.0725806451612903,0.92741935483871,60143,328320
1951,"Alexis",252,20,0.0735294117647059,0.926470588235294,60143,328320
1952,"Alexis",252,27,0.0967741935483871,0.903225806451613,60143,328320
1953,"Alexis",216,27,0.111111111111111,0.888888888888889,60143,328320
1954,"Alexis",177,33,0.157142857142857,0.842857142857143,60143,328320
1955,"Alexis",174,30,0.147058823529412,0.852941176470588,60143,328320
1956,"Alexis",182,45,0.198237885462555,0.801762114537445,60143,328320
1957,"Alexis",193,35,0.153508771929825,0.846491228070175,60143,328320
1958,"Alexis",186,46,0.198275862068966,0.801724137931034,60143,328320
1959,"Alexis",168,49,0.225806451612903,0.774193548387097,60143,328320
1960,"Alexis",169,65,0.277777777777778,0.722222222222222,60143,328320
1961,"Alexis",154,69,0.309417040358744,0.690582959641256,60143,328320
1962,"Alexis",154,76,0.330434782608696,0.669565217391304,60143,328320
1963,"Alexis",173,66,0.276150627615063,0.723849372384937,60143,328320
1964,"Alexis",104,86,0.452631578947368,0.547368421052632,60143,328320
1965,"Alexis",166,105,0.387453874538745,0.612546125461255,60143,328320
1966,"Alexis",186,103,0.356401384083045,0.643598615916955,60143,328320
1967,"Alexis",185,139,0.429012345679012,0.570987654320988,60143,328320
1968,"Alexis",174,110,0.387323943661972,0.612676056338028,60143,328320
1969,"Alexis",204,134,0.396449704142012,0.603550295857988,60143,328320
1970,"Alexis",356,124,0.258333333333333,0.741666666666667,60143,328320
1971,"Alexis",344,157,0.313373253493014,0.686626746506986,60143,328320
1972,"Alexis",398,135,0.25328330206379,0.74671669793621,60143,328320
1973,"Alexis",491,152,0.236391912908243,0.763608087091757,60143,328320
1974,"Alexis",601,180,0.230473751600512,0.769526248399488,60143,328320
1975,"Alexis",678,217,0.242458100558659,0.757541899441341,60143,328320
1976,"Alexis",692,214,0.236203090507726,0.763796909492274,60143,328320
1977,"Alexis",726,239,0.247668393782383,0.752331606217617,60143,328320
1978,"Alexis",771,254,0.24780487804878,0.75219512195122,60143,328320
1979,"Alexis",1011,330,0.246085011185682,0.753914988814318,60143,328320
1980,"Alexis",1268,350,0.216316440049444,0.783683559950556,60143,328320
1981,"Alexis",1585,406,0.203917629331994,0.796082370668006,60143,328320
1982,"Alexis",3122,761,0.19598248776719,0.80401751223281,60143,328320
1983,"Alexis",3463,658,0.159669983013832,0.840330016986168,60143,328320
1984,"Alexis",3290,475,0.126162018592297,0.873837981407703,60143,328320
1985,"Alexis",2515,519,0.171061305207647,0.828938694792353,60143,328320
1986,"Alexis",2194,429,0.163553183377812,0.836446816622188,60143,328320
1987,"Alexis",2458,476,0.162235855487389,0.837764144512611,60143,328320
1988,"Alexis",2901,417,0.125678119349005,0.874321880650995,60143,328320
1989,"Alexis",3513,550,0.135367954713266,0.864632045286734,60143,328320
1990,"Alexis",5255,736,0.122850943081289,0.877149056918711,60143,328320
1991,"Alexis",7007,757,0.0975012879958784,0.902498712004122,60143,328320
1992,"Alexis",7948,766,0.08790452145972,0.91209547854028,60143,328320
1993,"Alexis",10830,1099,0.092128426523598,0.907871573476402,60143,328320
1994,"Alexis",13036,1288,0.0899190170343479,0.910080982965652,60143,328320
1995,"Alexis",14330,1880,0.115977791486737,0.884022208513263,60143,328320
1996,"Alexis",16587,1795,0.0976498748775976,0.902350125122402,60143,328320
1997,"Alexis",17172,3182,0.156332907536602,0.843667092463398,60143,328320
1998,"Alexis",19777,2316,0.104829584031141,0.895170415968859,60143,328320
1999,"Alexis",19232,2434,0.112341918212868,0.887658081787132,60143,328320
2000,"Alexis",17627,2714,0.133425102010717,0.866574897989283,60143,328320
2001,"Alexis",16396,2768,0.144437486954707,0.855562513045293,60143,328320
2002,"Alexis",15633,2379,0.132078614257162,0.867921385742838,60143,328320
2003,"Alexis",14857,2720,0.154747681629402,0.845252318370598,60143,328320
2004,"Alexis",13465,4175,0.236678004535147,0.763321995464853,60143,328320
2005,"Alexis",11962,3049,0.203117713676637,0.796882286323363,60143,328320
2006,"Alexis",11219,3200,0.221929398710035,0.778070601289965,60143,328320
2007,"Alexis",9901,2653,0.211327067070257,0.788672932929743,60143,328320
2008,"Alexis",9713,2340,0.194142537127686,0.805857462872314,60143,328320
2009,"Alexis",9922,2018,0.169011725293132,0.830988274706868,60143,328320
2010,"Alexis",8249,1621,0.164235055724417,0.835764944275583,60143,328320
2011,"Alexis",6510,1481,0.185333500187711,0.814666499812289,60143,328320
2012,"Alexis",5337,1559,0.226073085846868,0.773926914153132,60143,328320
2013,"Alexis",4756,1188,0.199865410497981,0.800134589502019,60143,328320
2014,"Alexis",4188,1172,0.21865671641791,0.78134328358209,60143,328320
1888,"Angel",0,8,1,0,209691,91734
1890,"Angel",0,5,1,0,209691,91734
1891,"Angel",0,5,1,0,209691,91734
1894,"Angel",5,0,0,1,209691,91734
1896,"Angel",0,5,1,0,209691,91734
1899,"Angel",0,7,1,0,209691,91734
1900,"Angel",0,6,1,0,209691,91734
1907,"Angel",6,9,0.6,0.4,209691,91734
1908,"Angel",7,9,0.5625,0.4375,209691,91734
1909,"Angel",6,10,0.625,0.375,209691,91734
1910,"Angel",0,13,1,0,209691,91734
1911,"Angel",0,12,1,0,209691,91734
1912,"Angel",8,26,0.764705882352941,0.235294117647059,209691,91734
1913,"Angel",7,30,0.810810810810811,0.189189189189189,209691,91734
1914,"Angel",7,37,0.840909090909091,0.159090909090909,209691,91734
1915,"Angel",10,30,0.75,0.25,209691,91734
1916,"Angel",15,63,0.807692307692308,0.192307692307692,209691,91734
1917,"Angel",11,55,0.833333333333333,0.166666666666667,209691,91734
1918,"Angel",8,55,0.873015873015873,0.126984126984127,209691,91734
1919,"Angel",10,70,0.875,0.125,209691,91734
1920,"Angel",12,85,0.876288659793814,0.123711340206186,209691,91734
1921,"Angel",17,70,0.804597701149425,0.195402298850575,209691,91734
1922,"Angel",12,90,0.882352941176471,0.117647058823529,209691,91734
1923,"Angel",18,82,0.82,0.18,209691,91734
1924,"Angel",20,112,0.848484848484849,0.151515151515152,209691,91734
1925,"Angel",19,122,0.865248226950355,0.134751773049645,209691,91734
1926,"Angel",19,129,0.871621621621622,0.128378378378378,209691,91734
1927,"Angel",20,131,0.867549668874172,0.132450331125828,209691,91734
1928,"Angel",19,136,0.87741935483871,0.12258064516129,209691,91734
1929,"Angel",13,131,0.909722222222222,0.0902777777777778,209691,91734
1930,"Angel",21,166,0.887700534759358,0.112299465240642,209691,91734
1931,"Angel",18,107,0.856,0.144,209691,91734
1932,"Angel",20,125,0.862068965517241,0.137931034482759,209691,91734
1933,"Angel",14,100,0.87719298245614,0.12280701754386,209691,91734
1934,"Angel",14,119,0.894736842105263,0.105263157894737,209691,91734
1935,"Angel",15,94,0.862385321100917,0.137614678899083,209691,91734
1936,"Angel",13,97,0.881818181818182,0.118181818181818,209691,91734
1937,"Angel",13,103,0.887931034482759,0.112068965517241,209691,91734
1938,"Angel",14,91,0.866666666666667,0.133333333333333,209691,91734
1939,"Angel",21,86,0.803738317757009,0.196261682242991,209691,91734
1940,"Angel",19,90,0.825688073394495,0.174311926605505,209691,91734
1941,"Angel",42,108,0.72,0.28,209691,91734
1942,"Angel",31,105,0.772058823529412,0.227941176470588,209691,91734
1943,"Angel",39,117,0.75,0.25,209691,91734
1944,"Angel",31,114,0.786206896551724,0.213793103448276,209691,91734
1945,"Angel",24,125,0.838926174496644,0.161073825503356,209691,91734
1946,"Angel",39,137,0.778409090909091,0.221590909090909,209691,91734
1947,"Angel",42,171,0.802816901408451,0.197183098591549,209691,91734
1948,"Angel",52,223,0.810909090909091,0.189090909090909,209691,91734
1949,"Angel",53,186,0.778242677824268,0.221757322175732,209691,91734
1950,"Angel",47,234,0.832740213523132,0.167259786476868,209691,91734
1951,"Angel",56,274,0.83030303030303,0.16969696969697,209691,91734
1952,"Angel",54,314,0.853260869565217,0.146739130434783,209691,91734
1953,"Angel",72,327,0.819548872180451,0.180451127819549,209691,91734
1954,"Angel",92,437,0.826086956521739,0.173913043478261,209691,91734
1955,"Angel",97,434,0.817325800376648,0.182674199623352,209691,91734
1956,"Angel",123,495,0.800970873786408,0.199029126213592,209691,91734
1957,"Angel",146,568,0.795518207282913,0.204481792717087,209691,91734
1958,"Angel",189,529,0.736768802228412,0.263231197771588,209691,91734
1959,"Angel",217,605,0.736009732360097,0.263990267639903,209691,91734
1960,"Angel",267,664,0.713211600429645,0.286788399570354,209691,91734
1961,"Angel",597,667,0.527689873417722,0.472310126582278,209691,91734
1962,"Angel",450,691,0.605609114811569,0.394390885188431,209691,91734
1963,"Angel",410,649,0.612842304060434,0.387157695939566,209691,91734
1964,"Angel",423,695,0.621645796064401,0.378354203935599,209691,91734
1965,"Angel",402,721,0.642030276046305,0.357969723953695,209691,91734
1966,"Angel",438,767,0.636514522821577,0.363485477178423,209691,91734
1967,"Angel",400,774,0.659284497444634,0.340715502555366,209691,91734
1968,"Angel",503,831,0.622938530734633,0.377061469265367,209691,91734
1969,"Angel",639,938,0.594800253646164,0.405199746353836,209691,91734
1970,"Angel",1108,1037,0.483449883449883,0.516550116550117,209691,91734
1971,"Angel",1490,999,0.401366010445962,0.598633989554038,209691,91734
1972,"Angel",1944,956,0.329655172413793,0.670344827586207,209691,91734
1973,"Angel",1815,1047,0.365828092243187,0.634171907756813,209691,91734
1974,"Angel",1451,1110,0.433424443576728,0.566575556423272,209691,91734
1975,"Angel",1598,1092,0.405947955390335,0.594052044609665,209691,91734
1976,"Angel",1642,1138,0.409352517985612,0.590647482014388,209691,91734
1977,"Angel",2137,1244,0.367938479739722,0.632061520260278,209691,91734
1978,"Angel",1935,1247,0.391891891891892,0.608108108108108,209691,91734
1979,"Angel",1696,1307,0.435231435231435,0.564768564768565,209691,91734
1980,"Angel",1691,1418,0.456095207462206,0.543904792537794,209691,91734
1981,"Angel",1815,1298,0.416961130742049,0.583038869257951,209691,91734
1982,"Angel",1745,1443,0.452634880803011,0.547365119196989,209691,91734
1983,"Angel",1575,1348,0.461170030790284,0.538829969209716,209691,91734
1984,"Angel",1685,1415,0.456451612903226,0.543548387096774,209691,91734
1985,"Angel",1781,1560,0.466926070038911,0.533073929961089,209691,91734
1986,"Angel",1583,1648,0.510058805323429,0.489941194676571,209691,91734
1987,"Angel",1445,1655,0.533870967741935,0.466129032258065,209691,91734
1988,"Angel",1704,1827,0.517417162276975,0.482582837723025,209691,91734
1989,"Angel",1716,2174,0.558868894601542,0.441131105398458,209691,91734
1990,"Angel",1663,2404,0.591099090238505,0.408900909761495,209691,91734
1991,"Angel",1834,2686,0.594247787610619,0.405752212389381,209691,91734
1992,"Angel",1695,3049,0.642706576728499,0.357293423271501,209691,91734
1993,"Angel",1632,3036,0.650385604113111,0.349614395886889,209691,91734
1994,"Angel",1675,3476,0.674820423218792,0.325179576781208,209691,91734
1995,"Angel",1733,3735,0.68306510607169,0.31693489392831,209691,91734
1996,"Angel",1938,3910,0.668604651162791,0.331395348837209,209691,91734
1997,"Angel",2212,4515,0.671175858480749,0.328824141519251,209691,91734
1998,"Angel",2384,4769,0.666713267160632,0.333286732839368,209691,91734
1999,"Angel",2730,5400,0.664206642066421,0.335793357933579,209691,91734
2000,"Angel",2832,6304,0.690017513134851,0.309982486865149,209691,91734
2001,"Angel",3079,6974,0.693723266686561,0.306276733313439,209691,91734
2002,"Angel",3095,8184,0.72559624080149,0.274403759198511,209691,91734
2003,"Angel",2885,9151,0.760302426055168,0.239697573944832,209691,91734
2004,"Angel",2613,9508,0.78442372741523,0.21557627258477,209691,91734
2005,"Angel",2383,10981,0.821685124214307,0.178314875785693,209691,91734
2006,"Angel",2222,11592,0.839148689735051,0.160851310264949,209691,91734
2007,"Angel",2292,11362,0.832137102680533,0.167862897319467,209691,91734
2008,"Angel",2116,10343,0.830162934424914,0.169837065575086,209691,91734
2009,"Angel",1876,9838,0.839849752432986,0.160150247567014,209691,91734
2010,"Angel",1606,8760,0.845070422535211,0.154929577464789,209691,91734
2011,"Angel",1471,7523,0.836446519902157,0.163553480097843,209691,91734
2012,"Angel",1395,7006,0.833948339483395,0.166051660516605,209691,91734
2013,"Angel",1212,6346,0.839640116432919,0.160359883567081,209691,91734
2014,"Angel",1179,6255,0.841404358353511,0.158595641646489,209691,91734
1892,"Ariel",5,0,0,1,16094,61308
1894,"Ariel",5,0,0,1,16094,61308
1899,"Ariel",5,0,0,1,16094,61308
1900,"Ariel",5,0,0,1,16094,61308
1904,"Ariel",6,0,0,1,16094,61308
1905,"Ariel",5,0,0,1,16094,61308
1906,"Ariel",8,0,0,1,16094,61308
1907,"Ariel",9,0,0,1,16094,61308
1908,"Ariel",12,0,0,1,16094,61308
1909,"Ariel",7,0,0,1,16094,61308
1910,"Ariel",6,0,0,1,16094,61308
1911,"Ariel",14,0,0,1,16094,61308
1912,"Ariel",9,0,0,1,16094,61308
1913,"Ariel",19,5,0.208333333333333,0.791666666666667,16094,61308
1914,"Ariel",7,9,0.5625,0.4375,16094,61308
1915,"Ariel",23,7,0.233333333333333,0.766666666666667,16094,61308
1916,"Ariel",27,7,0.205882352941176,0.794117647058823,16094,61308
1917,"Ariel",15,9,0.375,0.625,16094,61308
1918,"Ariel",25,8,0.242424242424242,0.757575757575758,16094,61308
1919,"Ariel",11,0,0,1,16094,61308
1920,"Ariel",22,10,0.3125,0.6875,16094,61308
1921,"Ariel",16,10,0.384615384615385,0.615384615384615,16094,61308
1922,"Ariel",17,12,0.413793103448276,0.586206896551724,16094,61308
1923,"Ariel",10,13,0.565217391304348,0.434782608695652,16094,61308
1924,"Ariel",11,8,0.421052631578947,0.578947368421053,16094,61308
1925,"Ariel",12,0,0,1,16094,61308
1926,"Ariel",8,0,0,1,16094,61308
1927,"Ariel",12,7,0.368421052631579,0.631578947368421,16094,61308
1928,"Ariel",7,9,0.5625,0.4375,16094,61308
1929,"Ariel",14,11,0.44,0.56,16094,61308
1930,"Ariel",8,8,0.5,0.5,16094,61308
1931,"Ariel",9,8,0.470588235294118,0.529411764705882,16094,61308
1932,"Ariel",8,0,0,1,16094,61308
1933,"Ariel",7,0,0,1,16094,61308
1934,"Ariel",6,7,0.538461538461538,0.461538461538462,16094,61308
1935,"Ariel",8,8,0.5,0.5,16094,61308
1936,"Ariel",11,0,0,1,16094,61308
1937,"Ariel",8,9,0.529411764705882,0.470588235294118,16094,61308
1938,"Ariel",11,13,0.541666666666667,0.458333333333333,16094,61308
1939,"Ariel",7,0,0,1,16094,61308
1941,"Ariel",11,0,0,1,16094,61308
1942,"Ariel",8,5,0.384615384615385,0.615384615384615,16094,61308
1943,"Ariel",16,0,0,1,16094,61308
1944,"Ariel",6,7,0.538461538461538,0.461538461538462,16094,61308
1945,"Ariel",8,10,0.555555555555556,0.444444444444444,16094,61308
1946,"Ariel",11,7,0.388888888888889,0.611111111111111,16094,61308
1947,"Ariel",13,0,0,1,16094,61308
1948,"Ariel",5,10,0.666666666666667,0.333333333333333,16094,61308
1949,"Ariel",8,6,0.428571428571429,0.571428571428571,16094,61308
1950,"Ariel",9,7,0.4375,0.5625,16094,61308
1951,"Ariel",7,12,0.631578947368421,0.368421052631579,16094,61308
1952,"Ariel",8,12,0.6,0.4,16094,61308
1953,"Ariel",9,9,0.5,0.5,16094,61308
1954,"Ariel",8,6,0.428571428571429,0.571428571428571,16094,61308
1955,"Ariel",0,6,1,0,16094,61308
1956,"Ariel",5,18,0.782608695652174,0.217391304347826,16094,61308
1957,"Ariel",11,24,0.685714285714286,0.314285714285714,16094,61308
1958,"Ariel",0,16,1,0,16094,61308
1959,"Ariel",5,15,0.75,0.25,16094,61308
1960,"Ariel",12,25,0.675675675675676,0.324324324324324,16094,61308
1961,"Ariel",11,35,0.760869565217391,0.239130434782609,16094,61308
1962,"Ariel",0,27,1,0,16094,61308
1963,"Ariel",9,29,0.763157894736842,0.236842105263158,16094,61308
1964,"Ariel",16,34,0.68,0.32,16094,61308
1965,"Ariel",11,42,0.792452830188679,0.207547169811321,16094,61308
1966,"Ariel",10,28,0.736842105263158,0.263157894736842,16094,61308
1967,"Ariel",13,59,0.819444444444444,0.180555555555556,16094,61308
1968,"Ariel",27,82,0.752293577981651,0.247706422018349,16094,61308
1969,"Ariel",30,81,0.72972972972973,0.27027027027027,16094,61308
1970,"Ariel",38,84,0.688524590163934,0.311475409836066,16094,61308
1971,"Ariel",26,87,0.769911504424779,0.230088495575221,16094,61308
1972,"Ariel",31,100,0.763358778625954,0.236641221374046,16094,61308
1973,"Ariel",42,104,0.712328767123288,0.287671232876712,16094,61308
1974,"Ariel",36,153,0.80952380952381,0.19047619047619,16094,61308
1975,"Ariel",60,176,0.745762711864407,0.254237288135593,16094,61308
1976,"Ariel",63,176,0.736401673640167,0.263598326359833,16094,61308
1977,"Ariel",104,156,0.6,0.4,16094,61308
1978,"Ariel",162,225,0.581395348837209,0.418604651162791,16094,61308
1979,"Ariel",154,216,0.583783783783784,0.416216216216216,16094,61308
1980,"Ariel",181,239,0.569047619047619,0.430952380952381,16094,61308
1981,"Ariel",228,236,0.508620689655172,0.491379310344828,16094,61308
1982,"Ariel",584,294,0.334851936218679,0.665148063781321,16094,61308
1983,"Ariel",649,315,0.326763485477178,0.673236514522822,16094,61308
1984,"Ariel",636,280,0.305676855895196,0.694323144104803,16094,61308
1985,"Ariel",600,290,0.325842696629214,0.674157303370786,16094,61308
1986,"Ariel",652,299,0.314405888538381,0.685594111461619,16094,61308
1987,"Ariel",625,294,0.319912948857454,0.680087051142546,16094,61308
1988,"Ariel",910,343,0.273743016759777,0.726256983240223,16094,61308
1989,"Ariel",1284,383,0.229754049190162,0.770245950809838,16094,61308
1990,"Ariel",3604,405,0.101022698927413,0.898977301072587,16094,61308
1991,"Ariel",5409,665,0.109483042476128,0.890516957523872,16094,61308
1992,"Ariel",3961,456,0.103237491510075,0.896762508489925,16094,61308
1993,"Ariel",2707,440,0.139815697489673,0.860184302510327,16094,61308
1994,"Ariel",2186,444,0.168821292775665,0.831178707224335,16094,61308
1995,"Ariel",2150,447,0.172121678860223,0.827878321139777,16094,61308
1996,"Ariel",1923,469,0.196070234113712,0.803929765886288,16094,61308
1997,"Ariel",2212,442,0.166541070082894,0.833458929917106,16094,61308
1998,"Ariel",2149,467,0.178516819571865,0.821483180428135,16094,61308
1999,"Ariel",1834,422,0.187056737588652,0.812943262411348,16094,61308
2000,"Ariel",1752,384,0.179775280898876,0.820224719101124,16094,61308
2001,"Ariel",1653,404,0.19640252795333,0.80359747204667,16094,61308
2002,"Ariel",1547,441,0.221830985915493,0.778169014084507,16094,61308
2003,"Ariel",1547,387,0.200103412616339,0.799896587383661,16094,61308
2004,"Ariel",1543,416,0.212353241449719,0.787646758550281,16094,61308
2005,"Ariel",1566,438,0.218562874251497,0.781437125748503,16094,61308
2006,"Ariel",1729,573,0.248913987836664,0.751086012163336,16094,61308
2007,"Ariel",1777,521,0.226718885987816,0.773281114012184,16094,61308
2008,"Ariel",1551,454,0.22643391521197,0.77356608478803,16094,61308
2009,"Ariel",1565,475,0.232843137254902,0.767156862745098,16094,61308
2010,"Ariel",1450,413,0.221685453569512,0.778314546430488,16094,61308
2011,"Ariel",1434,379,0.209045780474352,0.790954219525648,16094,61308
2012,"Ariel",1728,296,0.146245059288538,0.853754940711462,16094,61308
2013,"Ariel",2125,297,0.12262592898431,0.87737407101569,16094,61308
2014,"Ariel",2419,319,0.116508400292184,0.883491599707816,16094,61308
1880,"Ashley",0,8,1,0,15538,834720
1881,"Ashley",0,6,1,0,15538,834720
1882,"Ashley",0,7,1,0,15538,834720
1883,"Ashley",0,9,1,0,15538,834720
1884,"Ashley",0,6,1,0,15538,834720
1885,"Ashley",0,13,1,0,15538,834720
1886,"Ashley",0,14,1,0,15538,834720
1887,"Ashley",0,10,1,0,15538,834720
1888,"Ashley",0,7,1,0,15538,834720
1890,"Ashley",0,12,1,0,15538,834720
1891,"Ashley",0,8,1,0,15538,834720
1892,"Ashley",0,12,1,0,15538,834720
1893,"Ashley",0,10,1,0,15538,834720
1894,"Ashley",0,17,1,0,15538,834720
1895,"Ashley",0,10,1,0,15538,834720
1896,"Ashley",0,10,1,0,15538,834720
1897,"Ashley",0,17,1,0,15538,834720
1898,"Ashley",0,5,1,0,15538,834720
1899,"Ashley",0,7,1,0,15538,834720
1900,"Ashley",0,5,1,0,15538,834720
1901,"Ashley",0,10,1,0,15538,834720
1902,"Ashley",0,14,1,0,15538,834720
1903,"Ashley",0,7,1,0,15538,834720
1904,"Ashley",0,11,1,0,15538,834720
1905,"Ashley",0,10,1,0,15538,834720
1906,"Ashley",0,13,1,0,15538,834720
1907,"Ashley",0,7,1,0,15538,834720
1908,"Ashley",0,9,1,0,15538,834720
1909,"Ashley",0,10,1,0,15538,834720
1910,"Ashley",0,7,1,0,15538,834720
1911,"Ashley",0,16,1,0,15538,834720
1912,"Ashley",0,23,1,0,15538,834720
1913,"Ashley",0,31,1,0,15538,834720
1914,"Ashley",0,42,1,0,15538,834720
1915,"Ashley",0,47,1,0,15538,834720
1916,"Ashley",0,48,1,0,15538,834720
1917,"Ashley",5,45,0.9,0.1,15538,834720
1918,"Ashley",0,42,1,0,15538,834720
1919,"Ashley",0,59,1,0,15538,834720
1920,"Ashley",0,43,1,0,15538,834720
1921,"Ashley",0,47,1,0,15538,834720
1922,"Ashley",0,53,1,0,15538,834720
1923,"Ashley",0,47,1,0,15538,834720
1924,"Ashley",0,46,1,0,15538,834720
1925,"Ashley",0,57,1,0,15538,834720
1926,"Ashley",0,45,1,0,15538,834720
1927,"Ashley",0,50,1,0,15538,834720
1928,"Ashley",0,37,1,0,15538,834720
1929,"Ashley",0,39,1,0,15538,834720
1930,"Ashley",0,26,1,0,15538,834720
1931,"Ashley",0,35,1,0,15538,834720
1932,"Ashley",0,30,1,0,15538,834720
1933,"Ashley",0,22,1,0,15538,834720
1934,"Ashley",0,32,1,0,15538,834720
1935,"Ashley",0,34,1,0,15538,834720
1936,"Ashley",0,36,1,0,15538,834720
1937,"Ashley",0,31,1,0,15538,834720
1938,"Ashley",7,25,0.78125,0.21875,15538,834720
1939,"Ashley",0,27,1,0,15538,834720
1940,"Ashley",0,49,1,0,15538,834720
1941,"Ashley",6,54,0.9,0.1,15538,834720
1942,"Ashley",8,71,0.89873417721519,0.10126582278481,15538,834720
1943,"Ashley",10,58,0.852941176470588,0.147058823529412,15538,834720
1944,"Ashley",12,55,0.82089552238806,0.17910447761194,15538,834720
1945,"Ashley",10,57,0.850746268656716,0.149253731343284,15538,834720
1946,"Ashley",7,71,0.91025641025641,0.0897435897435897,15538,834720
1947,"Ashley",11,67,0.858974358974359,0.141025641025641,15538,834720
1948,"Ashley",13,66,0.835443037974684,0.164556962025316,15538,834720
1949,"Ashley",11,55,0.833333333333333,0.166666666666667,15538,834720
1950,"Ashley",15,57,0.791666666666667,0.208333333333333,15538,834720
1951,"Ashley",15,49,0.765625,0.234375,15538,834720
1952,"Ashley",24,61,0.717647058823529,0.282352941176471,15538,834720
1953,"Ashley",15,53,0.779411764705882,0.220588235294118,15538,834720
1954,"Ashley",21,73,0.776595744680851,0.223404255319149,15538,834720
1955,"Ashley",8,80,0.909090909090909,0.0909090909090909,15538,834720
1956,"Ashley",25,65,0.722222222222222,0.277777777777778,15538,834720
1957,"Ashley",27,65,0.706521739130435,0.293478260869565,15538,834720
1958,"Ashley",38,76,0.666666666666667,0.333333333333333,15538,834720
1959,"Ashley",37,80,0.683760683760684,0.316239316239316,15538,834720
1960,"Ashley",57,89,0.60958904109589,0.39041095890411,15538,834720
1961,"Ashley",80,126,0.611650485436893,0.388349514563107,15538,834720
1962,"Ashley",95,113,0.543269230769231,0.456730769230769,15538,834720
1963,"Ashley",108,129,0.544303797468354,0.455696202531646,15538,834720
1964,"Ashley",180,110,0.379310344827586,0.620689655172414,15538,834720
1965,"Ashley",218,121,0.35693215339233,0.64306784660767,15538,834720
1966,"Ashley",263,110,0.294906166219839,0.705093833780161,15538,834720
1967,"Ashley",386,137,0.261950286806883,0.738049713193117,15538,834720
1968,"Ashley",544,169,0.237026647966339,0.762973352033661,15538,834720
1969,"Ashley",642,194,0.232057416267943,0.767942583732057,15538,834720
1970,"Ashley",931,253,0.213682432432432,0.786317567567568,15538,834720
1971,"Ashley",1164,263,0.184302733006307,0.815697266993693,15538,834720
1972,"Ashley",1176,274,0.188965517241379,0.811034482758621,15538,834720
1973,"Ashley",1255,426,0.253420582986318,0.746579417013682,15538,834720
1974,"Ashley",1626,408,0.200589970501475,0.799410029498525,15538,834720
1975,"Ashley",1988,419,0.174075612796012,0.825924387203988,15538,834720
1976,"Ashley",2292,475,0.171666064329599,0.828333935670401,15538,834720
1977,"Ashley",2705,582,0.177061149984789,0.822938850015211,15538,834720
1978,"Ashley",3483,533,0.132719123505976,0.867280876494024,15538,834720
1979,"Ashley",4450,586,0.116362192216044,0.883637807783956,15538,834720
1980,"Ashley",7295,746,0.0927745305310285,0.907225469468972,15538,834720
1981,"Ashley",8875,674,0.0705833071525814,0.929416692847419,15538,834720
1982,"Ashley",14848,650,0.0419408955994322,0.958059104400568,15538,834720
1983,"Ashley",33292,594,0.0175293631588267,0.982470636841173,15538,834720
1984,"Ashley",38758,540,0.0137411573108046,0.986258842689195,15538,834720
1985,"Ashley",47006,502,0.0105666414077629,0.989433358592237,15538,834720
1986,"Ashley",49673,418,0.00834481244135673,0.991655187558643,15538,834720
1987,"Ashley",54840,409,0.00740284892034245,0.992597151079658,15538,834720
1988,"Ashley",49964,303,0.00602781148666123,0.993972188513339,15538,834720
